model,accuracy,pod_recall,far,f1_score,auc,tn,fp,fn,tp,threshold
DNN,0.7019543973941368,0.6197718631178707,0.33739837398373984,0.6404715127701375,0.7777398632911942,268,83,100,163,0.5
1D-CNN,0.6889250814332247,0.7908745247148289,0.3953488372093023,0.685337726523888,0.7554840596665692,215,136,55,208,0.5
TCN,0.6872964169381107,0.7566539923954373,0.39143730886850153,0.6745762711864407,0.7648868523393239,223,128,64,199,0.5
