model,best_f1_threshold,best_f1_score,best_csi_threshold,best_csi,operational_threshold,operational_pod,operational_far,operational_f1,operational_accuracy,operational_note
DNN,0.41,0.7134146341463414,0.41,0.5545023696682464,0.54,0.7566539923954373,0.3517915309446254,0.6982456140350877,0.7198697068403909,"POD >= 0.75, FAR minimum"
1D-CNN,0.3,0.6844444444444444,0.3,0.5202702702702703,0.41,0.752851711026616,0.4,0.6677908937605397,0.6791530944625407,"POD >= 0.75, FAR minimum"
TCN,0.38,0.7039764359351989,0.38,0.5431818181818182,0.49,0.7604562737642585,0.38837920489296635,0.6779661016949152,0.6905537459283387,"POD >= 0.75, FAR minimum"
