group,model,configuration,threshold_source,threshold,accuracy,precision,pod_recall,far,f1_score,specificity,csi,auc,tn,fp,fn,tp
Baseline,Logistic Regression,"Logistic Regression, threshold selected from validation",best_f1_from_validation,0.46,0.7312703583061889,0.649390243902439,0.8098859315589354,0.3506097560975609,0.7208121827411168,0.6723646723646723,0.5634920634920635,0.7849869465839048,236,115,50,213
Baseline,Random Forest,"Random Forest, threshold selected from validation",best_f1_from_validation,0.4,0.7100977198697068,0.6197183098591549,0.8365019011406845,0.380281690140845,0.7119741100323624,0.6153846153846154,0.5527638190954773,0.7962421327440339,216,135,43,220
Deep Learning,DNN,"DNN tabular, threshold selected from validation",best_f1_from_validation,0.39,0.7182410423452769,0.6461038961038961,0.7566539923954373,0.3538961038961039,0.6970227670753065,0.6894586894586895,0.5349462365591398,0.7777398632911942,242,109,64,199
Deep Learning,TCN_w5,"TCN, sequence window 5, threshold selected from validation",best_f1_from_validation,0.4,0.6889250814332247,0.6046511627906976,0.7908745247148289,0.3953488372093023,0.685337726523888,0.6125356125356125,0.5213032581453634,0.761409552284077,215,136,55,208
Deep Learning,1D-CNN_w7,"1D-CNN, sequence window 7, threshold selected from validation",best_f1_from_validation,0.61,0.6905537459283387,0.6076696165191741,0.7832699619771863,0.3923303834808259,0.6843853820598007,0.6210826210826211,0.5202020202020202,0.7436330744315535,218,133,57,206
Baseline,Dummy Stratified,"Dummy stratified, threshold 0.50",default_0_50,0.5,0.4820846905537459,0.4014336917562724,0.4258555133079847,0.5985663082437276,0.4132841328413284,0.5242165242165242,0.2604651162790697,0.4750360187622545,184,167,151,112
