Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Equivalent potential temp [K] of the LCL,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding,Tanggal,Jam,sounding_time_utc,year,month,day,hour,cb_h3,cb_h6,cb_h12
WIII,96749,200101/1200,-6.11,106.65,8,1.29,-2.23,-2.41,220.8,34.9,18.8,23.7,42.5,541.7,624.09,-52.68,-30.29,219.44,219.52,819.65,839.59,60.45,69.64,293.98,923.88,351.06,300.72,17.12,5783.0,60.17,2020-01-01,12,2020-01-01 12:00:00,2020,1,1,12,0,1,1
WIII,96749,200102/0000,-6.11,106.65,8,1.03,-0.9,-1.2,229.41,34.4,19.8,21.5,41.3,721.73,820.22,-11.76,-8.34,175.67,175.19,904.89,912.66,324.14,368.37,294.91,957.62,349.59,298.6,17.48,5768.0,60.34,2020-01-02,00,2020-01-02 00:00:00,2020,1,2,0,0,0,1
WIII,96749,200102/1200,-6.11,106.65,8,-1.12,-2.51,-2.83,237.41,35.7,21.3,23.9,45.2,697.24,782.42,-56.37,-45.59,174.1,173.35,795.13,806.98,43.4,48.7,294.32,931.42,351.31,300.37,17.32,5785.0,62.73,2020-01-02,12,2020-01-02 12:00:00,2020,1,2,12,0,0,0
WIII,96749,200103/0000,-6.11,106.65,8,-0.66,-3.02,-3.33,236.19,35.6,21.3,23.5,44.8,896.19,997.89,-42.5,-32.83,,,858.73,873.03,94.15,104.83,294.44,936.11,351.05,300.06,17.37,5786.0,60.61,2020-01-03,00,2020-01-03 00:00:00,2020,1,3,0,1,1,1
WIII,96749,200103/1200,-6.11,106.65,8,-1.8,-4.88,-5.51,250.59,35.0,21.8,24.7,46.5,1858.53,2024.76,-15.93,-10.16,132.83,132.87,858.67,902.33,153.55,167.28,295.61,931.82,357.19,301.64,18.78,5800.0,62.18,2020-01-03,12,2020-01-03 12:00:00,2020,1,3,12,1,1,1
WIII,96749,200104/0000,-6.11,106.65,8,-2.97,-4.87,-5.5,260.42,34.4,23.6,24.7,48.3,1389.73,1523.71,-11.33,-8.04,151.14,151.1,895.54,905.17,203.53,223.15,295.14,943.69,352.95,300.09,18.01,5777.0,60.56,2020-01-04,00,2020-01-04 00:00:00,2020,1,4,0,1,1,1
WIII,96749,200104/1200,-6.11,106.65,8,-2.39,-5.75,-6.42,247.81,35.7,22.3,25.3,47.6,2126.54,2296.71,-24.28,-13.91,151.79,151.79,866.37,883.04,137.06,148.02,295.44,919.19,358.65,302.67,18.88,5808.0,62.66,2020-01-04,12,2020-01-04 12:00:00,2020,1,4,12,1,1,1
WIII,96749,200105/0000,-6.11,106.65,8,-0.79,-2.89,-3.13,262.82,38.5,21.5,21.7,43.2,1137.91,1213.18,0.0,0.0,,,964.21,972.53,302.84,322.88,296.77,974.23,355.43,299.01,19.29,5794.0,72.25,2020-01-05,00,2020-01-05 00:00:00,2020,1,5,0,1,1,1
WIII,96749,200105/1200,-6.11,106.65,8,-3.05,-5.05,-5.8,275.61,39.8,23.4,24.5,47.9,1624.14,1773.4,-16.16,-11.65,160.72,160.67,886.45,893.73,83.85,91.55,295.4,933.77,355.86,301.26,18.51,5791.0,62.54,2020-01-05,12,2020-01-05 12:00:00,2020,1,5,12,1,1,1
WIII,96749,200106/0000,-6.11,106.65,8,-1.86,-2.58,-3.17,272.39,34.5,22.3,23.3,45.6,887.24,1009.3,-18.68,-11.07,163.85,163.85,762.61,839.81,51.08,58.1,295.14,952.05,351.52,299.32,17.83,5782.0,59.4,2020-01-06,00,2020-01-06 00:00:00,2020,1,6,0,1,1,1
WIII,96749,200106/1200,-6.11,106.65,8,-1.12,-4.17,-4.72,256.42,33.1,21.3,23.9,45.2,1425.11,1600.93,-20.06,-14.12,157.21,157.2,886.55,896.83,49.77,55.91,295.41,931.83,356.23,301.44,18.57,5799.0,59.85,2020-01-06,12,2020-01-06 12:00:00,2020,1,6,12,1,1,1
WIII,96749,200107/0000,-6.11,106.65,8,,-2.34,-2.73,,,,,,182.35,216.73,-13.57,-10.57,,,896.54,903.96,,,294.74,945.55,350.82,299.51,17.52,,55.01,2020-01-07,00,2020-01-07 00:00:00,2020,1,7,0,1,1,1
WIII,96749,200107/1200,-6.11,106.65,8,-1.23,-4.51,-5.28,252.8,39.3,21.4,24.3,45.7,1645.83,1809.36,-9.02,-5.55,141.6,141.6,883.54,915.81,88.34,97.12,295.52,936.02,356.05,301.18,18.6,5773.0,61.95,2020-01-07,12,2020-01-07 12:00:00,2020,1,7,12,0,0,0
WIII,96749,200108/0000,-6.11,106.65,8,0.35,-1.0,-1.69,266.98,34.1,20.1,22.3,42.4,530.45,631.92,-42.44,-35.23,181.08,180.78,800.99,823.67,63.8,76.01,293.53,919.38,349.84,300.69,16.71,5797.0,59.35,2020-01-08,00,2020-01-08 00:00:00,2020,1,8,0,0,1,1
WIII,96749,200108/1200,-6.11,106.65,8,-0.5,-2.61,-3.37,280.2,37.3,20.5,23.1,43.6,1251.46,1422.28,-28.87,-19.5,135.05,134.98,808.24,850.6,45.12,51.27,295.35,936.47,355.15,300.95,18.38,5798.0,59.03,2020-01-08,12,2020-01-08 12:00:00,2020,1,8,12,0,1,1
WIII,96749,200109/0000,-6.11,106.65,8,-1.44,-3.01,-3.37,268.2,38.4,21.8,23.1,44.9,1153.06,1268.31,-21.41,-13.55,128.88,128.85,858.83,875.45,114.5,125.95,295.35,943.56,353.95,300.32,18.27,5795.0,64.49,2020-01-09,00,2020-01-09 00:00:00,2020,1,9,0,1,1,1
WIII,96749,200109/1200,-6.11,106.65,8,-0.23,-2.87,-3.24,261.2,38.4,20.5,22.5,43.0,1200.99,1343.71,-15.3,-8.82,131.41,131.32,876.54,902.21,141.96,158.84,294.93,920.63,355.93,302.0,18.24,5803.0,63.63,2020-01-09,12,2020-01-09 12:00:00,2020,1,9,12,1,1,1
WIII,96749,200110/0000,-6.11,106.65,8,-0.49,-0.73,-0.78,266.98,36.5,21.4,22.1,43.5,115.15,129.68,-65.91,-44.31,409.3,408.0,662.12,718.97,34.83,39.22,294.35,958.61,346.94,297.95,16.86,5780.0,63.82,2020-01-10,00,2020-01-10 00:00:00,2020,1,10,0,0,0,0
WIII,96749,200110/1200,-6.11,106.65,8,-0.7,-2.67,-2.88,246.8,38.7,21.6,21.9,43.5,950.24,1030.39,-1.44,-0.68,141.62,141.57,934.94,939.29,146.94,159.33,295.23,946.21,352.95,299.95,18.06,5780.0,67.32,2020-01-10,12,2020-01-10 12:00:00,2020,1,10,12,1,1,1
WIII,96749,200111/0000,-6.11,106.65,8,1.02,-2.56,-2.81,237.22,36.0,19.5,22.9,42.4,1070.01,1179.17,-7.46,-2.53,145.29,145.06,869.53,926.44,76.34,84.12,295.54,960.08,352.04,299.02,18.14,5772.0,61.33,2020-01-11,00,2020-01-11 00:00:00,2020,1,11,0,0,0,0
WIII,96749,200111/1200,-6.11,106.65,8,0.92,-1.21,-1.32,254.98,19.8,19.4,23.3,42.7,189.09,253.11,-70.16,-45.4,297.84,296.82,775.57,808.23,6.51,8.72,292.7,907.72,348.22,300.93,16.1,5778.0,56.08,2020-01-11,12,2020-01-11 12:00:00,2020,1,11,12,0,0,0
WIII,96749,200112/0000,-6.11,106.65,8,2.64,-1.46,-1.81,229.4,18.9,17.7,22.7,40.4,537.76,670.93,-55.27,-34.67,165.09,164.17,827.09,852.05,20.68,25.81,293.97,929.88,350.01,300.16,17.0,5773.0,51.82,2020-01-12,00,2020-01-12 00:00:00,2020,1,12,0,0,0,0
WIII,96749,200112/1200,-6.11,106.65,8,0.66,-2.65,-3.5,242.38,25.3,19.5,23.1,42.6,1213.12,1402.89,-23.34,-14.73,150.63,150.56,837.53,870.01,53.38,61.73,294.74,926.34,354.05,301.27,17.89,5781.0,53.38,2020-01-12,12,2020-01-12 12:00:00,2020,1,12,12,0,1,1
WIII,96749,200113/0000,-6.11,106.65,8,0.01,-0.82,-1.63,276.6,36.7,20.9,21.3,42.2,472.93,592.56,-16.69,-12.48,189.66,189.6,867.15,875.74,45.05,56.44,294.77,955.04,349.38,298.7,17.38,5780.0,57.91,2020-01-13,00,2020-01-13 00:00:00,2020,1,13,0,0,0,1
WIII,96749,200113/1200,-6.11,106.65,8,1.13,-3.68,-4.35,246.39,34.7,19.2,22.9,42.1,1575.02,1780.3,-8.35,-3.54,142.69,142.65,902.06,909.28,123.36,139.43,294.95,917.7,356.56,302.29,18.32,5801.0,56.77,2020-01-13,12,2020-01-13 12:00:00,2020,1,13,12,0,0,0
WIII,96749,200114/0000,-6.11,106.65,8,2.12,-0.64,-1.47,242.6,33.7,18.5,21.5,40.0,560.25,681.46,-38.19,-8.4,196.56,196.38,737.44,882.47,42.66,51.89,295.02,958.16,349.98,298.66,17.59,5796.0,55.42,2020-01-14,00,2020-01-14 00:00:00,2020,1,14,0,0,0,0
WIII,96749,200114/1200,-6.11,106.65,8,2.05,-1.49,-2.47,226.59,29.8,18.2,21.5,39.7,1063.23,1270.0,-32.72,-19.33,161.13,161.0,854.75,875.14,40.75,48.68,295.04,930.23,354.78,301.21,18.15,5791.0,53.41,2020-01-14,12,2020-01-14 12:00:00,2020,1,14,12,0,1,1
WIII,96749,200115/0000,-6.11,106.65,8,-0.45,-2.0,-2.62,239.6,37.7,20.9,23.3,44.2,423.97,522.86,-27.82,-20.88,178.92,178.14,828.98,838.53,101.7,125.42,294.64,948.36,349.88,299.15,17.35,5778.0,60.98,2020-01-15,00,2020-01-15 00:00:00,2020,1,15,0,0,0,0
WIII,96749,200115/1200,-6.11,106.65,8,0.31,-1.66,-2.59,212.41,34.2,19.4,23.5,42.9,749.35,924.39,-93.81,-71.71,151.54,151.5,779.02,799.03,162.64,200.63,294.0,913.79,352.88,301.69,17.32,5802.0,53.46,2020-01-15,12,2020-01-15 12:00:00,2020,1,15,12,0,0,0
WIII,96749,200116/0000,-6.11,106.65,8,-1.34,-3.27,-3.9,218.81,29.1,21.7,23.7,45.4,969.87,1136.54,-33.94,-17.98,147.61,147.48,768.48,862.63,272.81,319.69,295.55,954.96,352.94,299.48,18.24,5780.0,55.03,2020-01-16,00,2020-01-16 00:00:00,2020,1,16,0,0,0,1
WIII,96749,200116/1200,-6.11,106.65,8,-1.55,-1.82,-2.19,226.79,37.0,21.8,22.5,44.3,656.09,802.03,-38.08,-37.63,191.64,190.71,843.06,845.31,122.52,149.77,294.47,926.75,352.77,300.95,17.58,5803.0,60.16,2020-01-16,12,2020-01-16 12:00:00,2020,1,16,12,1,1,1
WIII,96749,200117/0000,-6.11,106.65,8,0.56,-1.79,-2.27,198.4,32.2,19.8,22.5,42.3,819.43,1035.02,-29.29,-19.67,164.46,162.54,803.14,855.01,270.88,342.15,295.36,954.56,352.13,299.32,18.03,5793.0,49.64,2020-01-17,00,2020-01-17 00:00:00,2020,1,17,0,0,0,0
WIII,96749,200117/1200,-6.11,106.65,8,-0.9,-2.72,-3.46,215.37,37.4,20.9,22.9,43.8,1234.84,1469.54,-43.04,-28.41,140.93,140.91,844.22,856.82,331.31,394.28,295.33,930.68,356.08,301.47,18.48,5802.0,52.31,2020-01-17,12,2020-01-17 12:00:00,2020,1,17,12,0,1,1
WIII,96749,200118/0000,-6.11,106.65,8,-1.38,-1.57,-1.72,215.38,36.7,22.2,22.9,45.1,263.73,337.95,-25.18,-21.98,353.95,352.29,835.04,839.15,90.61,116.11,294.56,960.27,347.6,298.0,17.04,5761.0,60.37,2020-01-18,00,2020-01-18 00:00:00,2020,1,18,0,0,0,0
WIII,96749,200118/1200,-6.11,106.65,8,0.96,0.21,-0.62,191.38,31.4,18.8,23.7,42.5,0.0,32.51,-337.98,-227.47,500.82,407.64,503.81,598.99,0.0,10.36,291.38,884.99,346.52,301.75,15.25,5805.0,46.38,2020-01-18,12,2020-01-18 12:00:00,2020,1,18,12,0,0,0
WIII,96749,200119/0000,-6.11,106.65,8,0.73,-0.68,-1.17,188.58,31.9,19.7,23.1,42.8,36.73,107.72,-159.89,-97.66,346.18,343.93,594.6,626.24,4837.53,14189.0,292.42,909.36,346.77,300.49,15.9,5788.0,49.34,2020-01-19,00,2020-01-19 00:00:00,2020,1,19,0,0,0,0
WIII,96749,200119/1200,-6.11,106.65,8,-0.02,-2.64,-3.46,203.61,36.6,20.1,23.3,43.4,857.71,1036.75,-47.18,-29.45,174.56,174.56,831.95,850.98,129.0,155.93,294.29,914.84,354.0,301.88,17.62,5809.0,54.72,2020-01-19,12,2020-01-19 12:00:00,2020,1,19,12,0,0,0
WIII,96749,200120/0000,-6.11,106.65,8,-0.65,-3.74,-4.2,189.39,36.6,20.9,24.3,45.2,878.25,1053.76,-26.38,-16.56,151.91,151.8,820.15,868.39,9751.42,11700.06,294.77,932.78,353.12,300.71,17.8,5794.0,55.71,2020-01-20,00,2020-01-20 00:00:00,2020,1,20,0,0,1,1
WIII,96749,200120/1200,-6.11,106.65,8,-0.09,-2.95,-3.97,206.59,35.6,20.0,23.1,43.1,1472.81,1678.29,-43.8,-24.21,130.9,130.9,841.6,862.84,292.25,333.02,295.51,931.42,356.8,301.58,18.7,5797.0,55.99,2020-01-20,12,2020-01-20 12:00:00,2020,1,20,12,0,1,1
WIII,96749,200121/0000,-6.11,106.65,8,-0.86,-2.36,-2.83,212.78,33.4,21.4,22.5,43.9,940.57,1091.0,-16.58,-13.28,175.74,175.62,867.86,880.49,2417.45,2804.07,295.47,954.45,352.64,299.45,18.16,5790.0,57.55,2020-01-21,00,2020-01-21 00:00:00,2020,1,21,0,1,1,1
WIII,96749,200121/1200,-6.11,106.65,8,0.97,-2.76,-3.33,188.58,33.5,18.7,23.7,42.4,1351.42,1520.92,-64.5,-37.35,142.66,142.59,811.06,840.12,477.91,537.85,295.3,932.62,355.58,301.25,18.42,5802.0,57.44,2020-01-21,12,2020-01-21 12:00:00,2020,1,21,12,0,0,1
WIII,96749,200122/0000,-6.11,106.65,8,-0.45,-2.0,-2.16,213.19,35.1,20.9,22.5,43.4,1040.47,1145.53,-29.88,-22.18,172.7,172.63,844.85,861.35,663.62,730.63,294.94,942.97,352.15,299.94,17.79,5796.0,63.17,2020-01-22,00,2020-01-22 00:00:00,2020,1,22,0,1,1,1
WIII,96749,200122/1200,-6.11,106.65,8,0.7,-3.79,-4.13,178.6,36.0,18.9,24.9,43.8,1084.3,1211.83,-80.27,-39.48,158.04,157.87,788.32,816.67,2564.65,2866.29,294.89,924.53,355.06,301.58,18.13,5810.0,58.7,2020-01-22,12,2020-01-22 12:00:00,2020,1,22,12,0,0,1
WIII,96749,200123/0000,-6.11,106.65,8,0.2,-2.94,-3.17,214.79,37.7,20.9,21.3,42.2,1320.87,1439.55,-0.1,-0.03,150.76,150.72,948.53,949.06,234.79,255.89,296.29,967.08,354.35,299.15,18.86,5777.0,65.44,2020-01-23,00,2020-01-23 00:00:00,2020,1,23,0,1,1,1
WIII,96749,200123/1200,-6.11,106.65,8,2.34,-0.78,-1.38,184.79,32.2,17.5,22.5,40.0,365.14,490.1,-83.88,-50.79,196.08,196.01,721.03,797.14,388.89,521.98,293.12,895.94,352.05,302.49,16.78,5807.0,55.35,2020-01-23,12,2020-01-23 12:00:00,2020,1,23,12,1,1,1
WIII,96749,200124/0000,-6.11,106.65,8,-1.24,-2.41,-2.82,222.81,35.4,21.5,22.7,44.2,1035.71,1163.63,-20.81,-16.81,,,845.05,861.79,368.33,413.82,295.55,948.98,353.94,300.02,18.36,5813.0,63.69,2020-01-24,00,2020-01-24 00:00:00,2020,1,24,0,1,1,1
WIII,96749,200124/1200,-6.11,106.65,8,-1.99,-3.46,-3.87,221.21,41.2,21.9,24.7,46.6,660.19,750.22,-61.14,-49.77,189.49,189.51,815.41,824.39,599.77,681.57,295.35,946.11,353.51,300.08,18.2,5800.0,67.05,2020-01-24,12,2020-01-24 12:00:00,2020,1,24,12,1,1,1
WIII,96749,200125/0000,-6.11,106.65,8,-3.24,-1.36,-1.68,247.8,40.2,23.2,23.5,46.7,247.05,323.54,-91.87,-89.95,249.03,248.52,677.92,702.25,6.09,7.97,295.3,963.74,350.34,298.45,17.79,5805.0,65.37,2020-01-25,00,2020-01-25 00:00:00,2020,1,25,0,0,0,0
WIII,96749,200125/1200,-6.11,106.65,8,-0.86,-3.35,-3.65,244.19,35.9,21.4,22.3,43.7,1134.16,1249.13,-2.56,-1.79,148.27,148.1,929.52,933.35,550.92,606.77,296.12,951.54,356.19,300.36,18.97,5797.0,67.84,2020-01-25,12,2020-01-25 12:00:00,2020,1,25,12,0,0,0
WIII,96749,200126/0000,-6.11,106.65,8,-0.23,-3.05,-3.6,196.98,33.5,20.1,24.5,44.6,734.1,900.5,-40.11,-7.28,188.47,188.44,796.58,918.75,411.42,504.68,295.52,954.36,352.89,299.51,18.23,5792.0,54.26,2020-01-26,00,2020-01-26 00:00:00,2020,1,26,0,0,0,0
WIII,96749,200126/1200,-6.11,106.65,8,0.76,-2.57,-3.24,218.58,35.9,19.6,21.7,41.3,1185.39,1365.33,-4.16,-2.21,156.53,156.48,906.29,921.31,90.36,104.08,296.14,948.3,356.87,300.68,19.07,5800.0,61.9,2020-01-26,12,2020-01-26 12:00:00,2020,1,26,12,1,1,1
WIII,96749,200127/0000,-6.11,106.65,8,0.66,-1.78,-2.13,207.4,35.8,19.6,22.5,42.1,713.59,853.34,-31.47,-20.86,170.39,170.36,820.22,855.66,674.59,806.71,295.31,949.77,352.68,299.7,18.07,5786.0,59.65,2020-01-27,00,2020-01-27 00:00:00,2020,1,27,0,0,0,0
WIII,96749,200127/1200,-6.11,106.65,8,0.48,-0.53,-0.78,205.4,36.0,19.6,22.9,42.5,105.15,171.6,-92.19,-70.44,295.85,294.95,726.62,761.23,7956.29,12984.59,292.04,886.04,349.07,302.33,15.79,5789.0,57.69,2020-01-27,12,2020-01-27 12:00:00,2020,1,27,12,0,0,0
WIII,96749,200128/0000,-6.11,106.65,8,1.36,-1.77,-2.41,206.2,32.5,18.9,21.9,40.8,1115.13,1285.77,-7.9,-4.91,160.36,160.02,904.51,918.74,132.58,152.86,295.78,952.3,354.43,299.95,18.56,5797.0,58.86,2020-01-28,00,2020-01-28 00:00:00,2020,1,28,0,1,1,1
WIII,96749,200128/1200,-6.11,106.65,8,0.39,-2.66,-3.17,204.18,33.9,19.5,23.3,42.8,1110.99,1247.74,-80.32,-40.35,162.61,162.07,728.65,779.17,618.96,695.15,294.65,917.22,355.26,302.03,18.01,5805.0,58.14,2020-01-28,12,2020-01-28 12:00:00,2020,1,28,12,0,0,1
WIII,96749,200129/0000,-6.11,106.65,8,1.17,-2.68,-3.26,213.0,31.8,19.0,22.3,41.3,1645.05,1841.91,-3.88,-2.65,143.13,142.76,923.09,930.2,143.55,160.73,296.61,962.99,356.6,299.84,19.33,5793.0,58.81,2020-01-29,00,2020-01-29 00:00:00,2020,1,29,0,0,0,1
WIII,96749,200129/1200,-6.11,106.65,8,-0.52,-5.22,-5.73,205.61,32.8,20.4,24.5,44.9,2043.44,2246.41,-29.41,-12.3,122.1,120.29,862.12,887.28,497.66,547.09,295.61,918.93,359.52,302.85,19.1,5808.0,59.13,2020-01-29,12,2020-01-29 12:00:00,2020,1,29,12,1,1,1
WIII,96749,200130/0000,-6.11,106.65,8,2.84,-0.35,-0.51,182.8,31.3,16.7,24.7,41.4,40.78,48.19,-324.67,-252.64,358.52,357.65,507.27,558.84,1.72,2.03,291.89,907.72,344.83,300.1,15.27,5802.0,54.45,2020-01-30,00,2020-01-30 00:00:00,2020,1,30,0,0,0,0
WIII,96749,200130/1200,-6.11,106.65,8,-0.35,-2.2,-2.5,204.81,34.7,20.4,24.5,44.9,295.53,363.92,-129.37,-84.74,304.67,302.88,688.77,709.13,24.29,29.91,293.01,909.28,349.28,301.1,16.4,5795.0,56.2,2020-01-30,12,2020-01-30 12:00:00,2020,1,30,12,0,0,0
WIII,96749,200131/0000,-6.11,106.65,8,1.9,-3.04,-3.62,203.61,29.6,18.6,22.3,40.9,1756.12,1905.24,-8.32,-2.04,126.35,126.25,873.22,922.14,338.8,367.57,296.0,953.59,355.25,300.05,18.79,5800.0,61.2,2020-01-31,00,2020-01-31 00:00:00,2020,1,31,0,0,1,1
WIII,96749,200131/1200,-6.11,106.65,8,0.77,-0.96,-1.27,226.02,35.0,19.4,22.7,42.1,400.27,468.65,-59.11,-41.94,189.4,187.06,787.03,810.87,28.55,33.43,293.11,905.9,350.29,301.52,16.52,5781.0,60.85,2020-01-31,12,2020-01-31 12:00:00,2020,1,31,12,1,1,1
WIII,96749,200201/1200,-6.11,106.65,8,2.11,-2.31,-2.8,210.8,33.9,18.3,22.1,40.4,1026.35,1178.99,-9.91,-4.27,131.48,131.03,879.83,908.96,109.87,126.21,295.36,941.86,354.26,300.47,18.28,5797.0,59.87,2020-02-01,12,2020-02-01 12:00:00,2020,2,1,12,0,0,1
WIII,96749,200202/0000,-6.11,106.65,8,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,2020-02-02,00,2020-02-02 00:00:00,2020,2,2,0,0,0,0
WIII,96749,200202/1200,-6.11,106.65,8,6.17,-2.12,-2.63,150.42,30.2,13.1,23.1,36.2,977.08,1127.86,-50.13,-21.06,136.92,136.51,829.38,864.57,408.39,471.41,295.08,937.95,353.66,300.55,18.06,5786.0,55.97,2020-02-02,12,2020-02-02 12:00:00,2020,2,2,12,0,0,1
WIII,96749,200203/0000,-6.11,106.65,8,-1.65,-2.88,-3.32,223.59,35.3,22.1,23.5,45.6,726.88,876.62,-6.47,-5.99,154.49,154.42,912.36,915.32,444.9,536.56,295.47,959.45,351.82,299.0,18.06,5786.0,58.65,2020-02-03,00,2020-02-03 00:00:00,2020,2,3,0,1,1,1
WIII,96749,200203/1200,-6.11,106.65,8,-0.82,-3.66,-4.21,209.61,38.4,20.9,24.1,45.0,1077.83,1206.52,-36.7,-20.06,148.25,147.62,836.47,859.16,443.1,496.0,295.52,943.81,354.68,300.46,18.45,5782.0,62.17,2020-02-03,12,2020-02-03 12:00:00,2020,2,3,12,0,1,1
WIII,96749,200204/0000,-6.11,106.65,8,-2.59,-2.59,-2.94,217.79,39.9,23.3,23.5,46.8,474.73,546.4,-6.23,-4.62,280.59,278.31,831.1,834.0,40.02,46.06,295.28,969.68,349.29,297.91,17.66,5761.0,63.79,2020-02-04,00,2020-02-04 00:00:00,2020,2,4,0,1,1,1
WIII,96749,200204/1200,-6.11,106.65,8,4.46,-2.16,-2.62,143.61,32.7,15.3,23.3,38.6,546.35,644.87,-82.31,-38.76,181.08,180.33,782.46,858.84,8532.15,10070.71,294.41,929.45,352.03,300.64,17.47,5805.0,57.49,2020-02-04,12,2020-02-04 12:00:00,2020,2,4,12,0,0,0
WIII,96749,200205/0000,-6.11,106.65,8,0.74,-1.31,-1.51,209.0,33.7,19.9,21.7,41.6,584.94,700.46,-17.91,-12.3,171.25,168.75,860.19,879.64,29.71,35.57,295.09,951.9,351.33,299.29,17.78,5793.0,59.91,2020-02-05,00,2020-02-05 00:00:00,2020,2,5,0,0,1,1
WIII,96749,200205/1200,-6.11,106.65,8,-1.69,-1.27,-1.53,228.2,38.0,21.6,23.9,45.5,218.38,267.09,-89.19,-83.29,261.27,260.43,790.95,794.59,73.61,90.03,293.89,930.86,349.48,299.99,16.87,5799.0,64.29,2020-02-05,12,2020-02-05 12:00:00,2020,2,5,12,1,1,1
WIII,96749,200206/0000,-6.11,106.65,8,0.76,0.79,0.75,207.53,34.35,20.0,21.23,41.23,1.01,2.42,-93.09,-84.12,668.36,667.72,677.56,679.71,1.04,2.48,294.61,971.15,346.1,297.1,16.9,5300.0,66.99,2020-02-06,00,2020-02-06 00:00:00,2020,2,6,0,1,1,1
WIII,96749,200206/1200,-6.11,106.65,8,0.3,-1.04,-1.42,206.18,35.3,19.5,23.5,43.0,291.01,343.19,-104.31,-71.21,,,701.22,725.51,608.61,717.74,294.67,945.24,350.54,299.47,17.45,5797.0,62.23,2020-02-06,12,2020-02-06 12:00:00,2020,2,6,12,0,0,0
WIII,96749,200207/0000,-6.11,106.65,8,-0.17,-2.71,-3.0,218.39,33.4,21.0,22.7,43.7,728.65,812.33,-31.66,-22.37,164.83,163.28,867.82,880.66,529.13,589.9,294.72,941.91,351.32,299.82,17.59,5799.0,60.54,2020-02-07,00,2020-02-07 00:00:00,2020,2,7,0,0,1,1
WIII,96749,200207/1200,-6.11,106.65,8,-1.59,-3.46,-3.73,238.81,37.3,22.3,22.5,44.8,1133.21,1244.08,-8.9,-6.64,120.94,120.74,900.65,908.65,82.44,90.51,295.86,953.15,354.71,299.97,18.65,5787.0,66.28,2020-02-07,12,2020-02-07 12:00:00,2020,2,7,12,1,1,1
WIII,96749,200208/0000,-6.11,106.65,8,-0.08,-1.77,-1.9,244.59,37.4,21.0,21.9,42.9,521.85,575.11,-7.38,-4.29,143.79,143.74,888.16,902.95,71.63,78.94,295.62,972.28,350.36,298.02,17.99,5773.0,67.33,2020-02-08,00,2020-02-08 00:00:00,2020,2,8,0,1,1,1
WIII,96749,200208/1200,-6.11,106.65,8,13.8,-1.55,-1.87,41.01,19.3,-0.7,24.3,23.6,417.06,511.59,-67.04,-24.59,237.92,236.13,807.48,844.5,62.63,76.83,293.7,917.79,350.83,301.0,16.92,5781.0,54.77,2020-02-08,12,2020-02-08 12:00:00,2020,2,8,12,0,1,1
WIII,96749,200209/0000,-6.11,106.65,8,2.09,-0.01,-0.14,218.61,32.5,19.0,21.5,40.5,71.45,92.03,-97.6,-32.57,407.75,406.29,685.4,853.22,5.84,7.52,292.77,925.85,345.54,299.31,15.83,5770.0,58.33,2020-02-09,00,2020-02-09 00:00:00,2020,2,9,0,0,0,1
WIII,96749,200209/1200,-6.11,106.65,8,0.83,-1.06,-1.14,209.19,34.4,19.3,23.5,42.8,219.49,258.54,-117.24,-86.01,360.27,360.1,702.26,743.64,26.57,31.3,293.42,925.4,348.36,300.01,16.48,5776.0,60.33,2020-02-09,12,2020-02-09 12:00:00,2020,2,9,12,0,0,0
WIII,96749,200210/0000,-6.11,106.65,8,2.38,0.0,-0.15,210.19,34.9,17.7,23.7,41.4,62.5,84.75,-153.22,-128.16,500.13,495.66,728.58,757.42,35.85,48.61,292.65,929.48,344.46,298.85,15.62,5779.0,57.11,2020-02-10,00,2020-02-10 00:00:00,2020,2,10,0,0,0,0
WIII,96749,200210/1200,-6.11,106.65,8,0.95,-0.66,-0.87,217.39,37.9,19.0,23.5,42.5,264.28,319.66,-83.64,-66.6,,,804.82,812.07,262.1,317.02,291.29,872.11,348.32,302.93,15.31,5794.0,58.38,2020-02-10,12,2020-02-10 12:00:00,2020,2,10,12,0,0,0
WIII,96749,200211/0000,-6.11,106.65,8,1.5,-2.23,-2.6,206.81,35.6,19.1,22.5,41.6,883.13,1007.02,-19.32,-12.6,166.5,166.11,891.25,904.0,1167.42,1331.2,294.9,944.84,351.67,299.74,17.72,5775.0,59.33,2020-02-11,00,2020-02-11 00:00:00,2020,2,11,0,0,0,0
WIII,96749,200211/1200,-6.11,106.65,8,1.26,0.3,0.07,207.21,33.9,18.8,22.7,41.5,70.23,89.36,-149.28,-71.57,315.4,314.51,596.03,785.66,33.11,42.13,290.91,868.66,347.33,302.88,15.01,5802.0,59.39,2020-02-11,12,2020-02-11 12:00:00,2020,2,11,12,1,1,1
